mlb_id,Season,Name,ERA,RA,IP,HR,brls,GB%,HR/FB,WAR,FIP,xFIP,SIERA,rFIP,nFIP,xnFIP,nFIPwo,xnFIPwo,rnFIP,rnFIPwo,rxnFIP,rxnFIPwo
547888,2019.0,Masahiro Tanaka,4.41717791411043,4.638036809815951,163.0,25.0,31,0.483,0.154,3.0,4.3335017826985345,4.32,4.52,4.700456851833417,4.10535461341919,3.9049479349232823,4.197072362133521,3.9966656836376124,4.4462850041835384,4.548464968662805,4.24587832568763,4.348058290166897
592351,2019.0,Jon Gray,3.8400000000000003,4.2,150.0,19.0,25,0.504,0.171,3.0,4.063604032187287,3.89,4.35,4.43055910132217,4.111387259395597,4.036407213186817,4.2551565770632775,4.180176530854498,4.483792946758751,4.643961986867307,4.408812900549972,4.568981940658528
502043,2019.0,Kyle Gibson,4.580357142857143,5.243303571428572,149.33333333333331,20.0,33,0.515,0.183,3.0,4.047294508377763,3.76,4.17,4.4142495775126465,4.137715713096216,4.480532348256896,4.240209574390766,4.583026209551448,4.51498510161585,4.62917040656745,4.857801736776531,4.9719870417281316
593423,2019.0,Frankie Montas,2.6999999999999997,3.4,90.0,7.0,10,0.508,0.10099999999999999,2.9,2.905826254409509,3.43,3.72,3.2727813235443923,2.587027727352792,2.6237076965469392,2.936025879036622,2.972705848230769,2.9176175452427966,3.3064258101889212,2.954297514436943,3.3431057793830683
571510,2019.0,Matthew Boyd,4.581818181818181,4.745454545454545,165.0,36.0,41,0.353,0.19399999999999998,2.9,4.307846456429711,3.72,3.46,4.674801525564594,4.651000961009112,4.157879195146326,4.279684567401466,3.78656280153868,5.05709956035429,4.6434272184003635,4.563977794491503,4.150305452537577
642232,2019.0,Ryan Yarbrough,3.4862637362637368,3.7829670329670337,121.33333333333331,11.0,22,0.433,0.091,2.8,3.208695607278862,4.02,3.94,3.575650676413745,2.6430096159133982,3.174295060147803,2.9270889297659792,3.458374374000384,2.9454370556654337,3.2619212106479236,3.4767224998998385,3.7932066548823284
608331,2019.0,Max Fried,4.046838407494146,4.426229508196721,142.33333333333331,17.0,15,0.5329999999999999,0.18899999999999997,2.6,3.6525345552161705,3.36,3.88,4.019489624351054,3.577005095996886,3.0181184157243557,3.930853487425842,3.3719668071533113,3.935344542637345,4.329556312704562,3.3764578623648145,3.7706696324320315
501381,2019.0,Michael Pineda,4.114285714285714,4.307142857142857,140.0,22.0,29,0.36700000000000005,0.134,2.6,4.06693736552062,4.36,4.25,4.433892434655503,4.05721571409019,3.9677405138021355,4.194167966385583,4.1046927660975285,4.423061837396349,4.575636191554177,4.333586637108295,4.4861609912661224
572020,2019.0,James Paxton,4.3919999999999995,4.824,125.0,22.0,24,0.387,0.16399999999999998,2.6,4.208937365520621,4.06,4.02,4.575892434655503,4.393969037599079,3.916552024366565,4.423952939067162,3.946535925834647,4.782030613421792,4.8154347694320006,4.3046136001892785,4.338017756199486
605397,2019.0,Joe Musgrove,4.665226781857452,5.306695464362852,154.33333333333331,21.0,32,0.433,0.124,2.6,4.078708423835955,4.5,4.45,4.445663492970838,3.983561906526817,4.169936622258444,4.145999827357542,4.332374543089169,4.3396636413035825,4.520630806473175,4.526038357035208,4.707005522204802
605483,2019.0,Blake Snell,4.2772277227722775,4.455445544554456,101.0,14.0,12,0.406,0.16699999999999998,2.5,3.3951551873027985,3.25,3.53,3.7621102564376816,3.1261362616425616,2.4445663277115504,3.1660642322657724,2.484494298334761,3.4624044235587,3.506886965675125,2.7808344896276886,2.8253170317441136
430935,2019.0,Cole Hamels,3.694736842105263,3.9789473684210526,126.66666666666667,14.0,27,0.49,0.12,2.5,3.8879899970995675,4.29,4.5,4.25494506623445,3.84308130719762,4.416343669151654,4.061430792481545,4.63469315443558,4.204913655702517,4.448170200516637,4.778176017656552,5.021432562470672
571945,2019.0,Miles Mikolas,4.3222453222453225,4.546777546777547,160.33333333333331,23.0,33,0.479,0.158,2.5,4.171199319782574,4.12,4.35,4.538154388917458,4.139118520687915,4.2151722681972394,4.3219653766521375,4.398019124161461,4.502414142804693,4.706118284145558,4.578467890314018,4.782172031654882
592662,2019.0,Robbie Ray,3.9671052631578947,4.381578947368421,152.0,25.0,39,0.385,0.192,2.4,4.177463681310094,3.75,4.04,4.544418750444977,4.543659274777576,4.825071572061429,4.337060913376562,4.618473210660415,4.952386164140611,4.722221190344955,5.233798461424463,5.003633487628807
593958,2019.0,Eduardo Rodriguez,3.965794768611671,4.0744466800804835,165.66666666666663,22.0,31,0.491,0.149,2.3,4.224985655259051,4.28,4.53,4.591940724393934,3.9922795153945714,4.030511173775861,4.05146114760783,4.089692805989119,4.332689865767652,4.3986223288093536,4.370921524148941,4.436853987190643
